time,open,high,low,close,Volume,Volume MA
1562014800,0.69639,0.70003,0.69563,0.6993699999999999,148374,200648.7
1562101200,0.6993699999999999,0.70393,0.69855,0.70288,118398,196126.9
1562187600,0.70288,0.70478,0.70155,0.70208,75208,187196.45
1562274000,0.70208,0.70288,0.69575,0.6977599999999999,128323,181341.4
1562533200,0.6974899999999999,0.69942,0.6967,0.69719,79500,175622.6
1562619600,0.69719,0.69752,0.6920499999999999,0.69274,90692,170543.05
1562706000,0.69274,0.69691,0.6910499999999999,0.69589,135523,166928.2
1562792400,0.69589,0.69881,0.69533,0.69733,128466,162895.55
1562878800,0.69733,0.70247,0.69705,0.70178,111662,159739.35
1563138000,0.70131,0.70399,0.7011999999999999,0.70392,83479,157564.55
1563224400,0.70392,0.70446,0.70104,0.7011999999999999,121499,154793.8
1563310800,0.7011999999999999,0.70249,0.69962,0.70096,105134,150379.9
1563397200,0.70096,0.70766,0.70051,0.70752,147194,145472.5
1563483600,0.70752,0.70821,0.70374,0.70385,149780,142195.3
1563742800,0.70389,0.70574,0.7031,0.70351,109680,138270.4
1563829200,0.70351,0.70357,0.69962,0.70051,108971,128494.75
1563915600,0.70051,0.70083,0.69726,0.69763,108668,122496
1564002000,0.69763,0.69841,0.69424,0.69509,144610,121417.75
1564088400,0.69509,0.69552,0.69026,0.69089,99318,117962.15
1564347600,0.6905,0.69165,0.68946,0.69009,64899,112968.9
1564434000,0.69009,0.69084,0.68686,0.6872199999999999,93590,110229.7
1564520400,0.6872199999999999,0.68992,0.6831699999999999,0.68449,207305,114675.05
1564606800,0.68449,0.68679,0.67952,0.67989,208460,121337.65
1564693200,0.67989,0.68188,0.67629,0.67981,216567,125749.85
1564952400,0.67921,0.68041,0.67481,0.67557,196808,131615.25
1565038800,0.67557,0.68008,0.67499,0.67592,197372,136949.25
1565125200,0.67592,0.67827,0.66771,0.6756,226298,141488
1565211600,0.6756,0.68221,0.67461,0.68025,162646,143197
1565298000,0.68025,0.6818,0.67774,0.67845,154603,145344.05
1565557200,0.67804,0.67957,0.67452,0.67494,156421,148991.15
1565643600,0.67494,0.6818299999999999,0.67461,0.67959,295836,157708
1565730000,0.67959,0.68088,0.67355,0.6747299999999999,328198,168861.2
1565816400,0.6747299999999999,0.67905,0.6745,0.67746,347903,178896.65
1565902800,0.67746,0.67953,0.67707,0.67745,263497,184582.5
1566162000,0.6777,0.6789,0.6762,0.67643,186666,188431.8
1566248400,0.67643,0.67951,0.67545,0.6777299999999999,187109,192338.7
1566334800,0.6777299999999999,0.67993,0.67731,0.67805,175083,195659.45
1566421200,0.67805,0.67874,0.6751,0.67567,206814,198769.65
1566507600,0.67567,0.67779,0.67357,0.67485,329096,210258.55
1566766800,0.6736,0.67881,0.66891,0.67749,495462,231786.7
1566853200,0.67749,0.6779999999999999,0.67466,0.67515,252222,239718.3
1566939600,0.67515,0.67623,0.67324,0.67338,230152,240860.65
1567026000,0.67338,0.67532,0.6717,0.67279,238219,242348.6
1567112400,0.67279,0.67402,0.6706,0.67336,212917,242166.1
1567371600,0.6724,0.67348,0.671,0.6715599999999999,155889,240120.15
1567458000,0.6715599999999999,0.67636,0.66875,0.67592,211447,240823.9
1567544400,0.67592,0.68008,0.67535,0.67969,177192,238368.6
1567630800,0.67969,0.68299,0.67936,0.68141,215535,241013.05
1567717200,0.68141,0.68617,0.6807,0.68452,173685,241967.15
1567976400,0.68406,0.68759,0.68363,0.68614,151803,241736.25
1568062800,0.68614,0.68701,0.68488,0.68606,153693,234629.1
1568149200,0.68606,0.68848,0.68486,0.68617,135334,224985.9
1568235600,0.68617,0.68947,0.68595,0.68658,184372,216809.35
1568322000,0.68658,0.68906,0.68589,0.68796,139376,210603.3
1568581200,0.6862199999999999,0.68839,0.6853899999999999,0.68646,159471,209243.55
1568667600,0.68646,0.68699,0.6830499999999999,0.68653,179275,208851.85
1568754000,0.68653,0.68693,0.68124,0.68274,158216,208008.5
1568840400,0.68274,0.68311,0.67803,0.67919,150614,205198.5
1568926800,0.67919,0.6809,0.67603,0.67626,144554,195971.4
1569186000,0.6772,0.67814,0.67645,0.6773,121986,177297.6
1569272400,0.6773,0.68062,0.67651,0.6801,126924,171032.7
1569358800,0.6801,0.68038,0.6738999999999999,0.67505,147170,166883.6
1569445200,0.67505,0.67809,0.67461,0.67484,147856,162365.45
1569531600,0.67484,0.67793,0.6743399999999999,0.67616,134825,158460.85
1569790800,0.67596,0.67706,0.67411,0.67496,129465,157139.65
1569877200,0.67496,0.6776,0.66717,0.67043,163204,154727.5
1569963600,0.67043,0.67186,0.66706,0.67062,146046,153170.2
1570050000,0.67062,0.67531,0.67024,0.67421,177428,151264.85
1570136400,0.67421,0.6773899999999999,0.67387,0.67684,166846,150922.9
1570395600,0.6755,0.67654,0.67297,0.67323,138419,150253.7
1570482000,0.67323,0.67572,0.67232,0.67282,158736,150505.85
1570568400,0.67282,0.675,0.67226,0.67244,146279,151053.1
1570654800,0.67244,0.67744,0.67104,0.67605,220679,152868.45
1570741200,0.67605,0.68105,0.67532,0.67904,192796,155539.45
1571000400,0.67883,0.68015,0.67511,0.67753,166342,155883
1571086800,0.67753,0.67888,0.67427,0.67523,168917,155365.1
1571173200,0.67523,0.6765599999999999,0.6723399999999999,0.67582,162333,155570.95
1571259600,0.67582,0.68331,0.67501,0.6823899999999999,162262,156153.35
1571346000,0.6823899999999999,0.6857,0.68213,0.68568,114156,154633.45
1571605200,0.6844,0.6880499999999999,0.68398,0.68676,132633,155165.8
1571691600,0.68676,0.68828,0.6850499999999999,0.6856,138435,155741.35
1571778000,0.6856,0.68625,0.6833899999999999,0.6853,140840,155424.85
1571864400,0.6853,0.68577,0.68109,0.68186,144824,155273.25
1571950800,0.68186,0.68362,0.68092,0.68203,113694,154216.7
1572210000,0.68211,0.68453,0.68107,0.6838299999999999,122425,153864.7
1572296400,0.6838299999999999,0.68719,0.68356,0.68643,140476,152728.3
1572382800,0.68643,0.6904399999999999,0.68486,0.6902699999999999,180541,154453.05
1572469200,0.6902699999999999,0.69297,0.68833,0.68934,194137,155288.5
1572555600,0.68934,0.69215,0.68839,0.69126,166225,155257.45
1572818400,0.6913,0.6925,0.6877,0.68835,122624,154467.7
1572904800,0.68835,0.69281,0.68765,0.68931,201752,156618.5
1572991200,0.68931,0.69075,0.68689,0.6884,133863,155997.7
1573077600,0.6884,0.69133,0.68617,0.68974,173721,153649.8
1573164000,0.68974,0.69064,0.68477,0.6856099999999999,145065,151263.25
1573423200,0.68552,0.68655,0.68468,0.68504,98199,147856.1
1573509600,0.68504,0.68573,0.68314,0.68408,134570,146138.75
1573596000,0.68408,0.68576,0.68212,0.6837799999999999,145271,145285.65
1573682400,0.6837799999999999,0.68412,0.6769499999999999,0.67865,151750,144760.05
1573768800,0.67865,0.6821699999999999,0.67805,0.68175,114963,144800.4
1574028000,0.68125,0.68224,0.67989,0.68074,107677,143552.6
1574114400,0.68074,0.68348,0.67849,0.68274,110289,142145.3
1574200800,0.68274,0.68311,0.6789999999999999,0.68028,117248,140965.7
1574287200,0.68028,0.68142,0.67833,0.67866,143239,140886.45
